2016-12-18 20:41:48 INFO  Consumer:75 - User: BarackObama; Gathered 20 tweets
2016-12-18 20:41:50 INFO  Consumer:75 - User: BarackObama; Gathered 20 tweets
2016-12-18 20:41:50 INFO  Consumer:75 - User: BarackObama; Gathered 20 tweets
2016-12-18 20:41:51 INFO  Consumer:75 - User: BarackObama; Gathered 20 tweets
2016-12-18 20:41:51 INFO  Consumer:93 - {id=781913425496662016, text=We need a fully functioning Supreme Court. Speak up if you agree it's time for a hearing and a vote: https://t.co/d6nmum1Ut7 #DoYourJob, name=BarackObama, retweet_count=939, date=Fri Sep 30 23:17:42 IST 2016}
2016-12-18 20:41:51 INFO  Consumer:93 - {id=781885668016332800, text=There has never been a more qualified nominee, Senate leaders. He deserves a fair hearing and a vote. #DoYourJob https://t.co/qtzcY3iwyl, name=BarackObama, retweet_count=3172, date=Fri Sep 30 21:27:24 IST 2016}
2016-12-18 20:41:51 INFO  Consumer:93 - {id=781613479589470208, text=It's the Senate's job to fairly consider Supreme Court nominees. Their refusal to do so is unacceptable: https://t.co/s8FdCa0tq6 #DoYourJob, name=BarackObama, retweet_count=1034, date=Fri Sep 30 03:25:49 IST 2016}
2016-12-18 20:41:51 INFO  Consumer:93 - {id=781579567358095360, text="Everybody gets sick." Check out what President Obama is doing to extend access to paid sick leave: https://t.co/gOAc2HAkQg #LeadOnLeave, name=BarackObama, retweet_count=630, date=Fri Sep 30 01:11:04 IST 2016}
2016-12-18 20:41:51 INFO  Consumer:93 - {id=781553914092990464, text=RT @ErnestMoniz: THIS is what a #CleanEnergy revolution looks like. New report out today → https://t.co/o13p5fPNDg #ActOnClimate https://t.…, name=BarackObama, retweet_count=291, date=Thu Sep 29 23:29:08 IST 2016}
2016-12-18 20:41:51 INFO  Consumer:93 - {id=781532250143719424, text=Never underestimate the strength and resilience of the American economy. https://t.co/OFTN2FlRtq, name=BarackObama, retweet_count=1303, date=Thu Sep 29 22:03:03 IST 2016}
